,date,creator_name,stream_sessions,Unique Profile Visitors,Buyers,Transactions,Txns / Buyer,Total Creator Earnings,Avg Transaction Size,Worst Case Gross Profit,Est. Gross Profit
10432,4/17/18,InjuredWafflez,0,1,0,0,0.0,0.0,,0.0,0.0
10442,4/17/18,myboomshtickMixer,0,1,0,0,0.0,0.0,,0.0,0.0
10529,4/16/18,Moto,0,1,1,1,1.0,0.02,0.02,0.001,0.005
10563,4/16/18,Bighungry2x,0,7,1,3,3.0,6.15,2.05,0.3075,1.5375
10569,4/16/18,TyFighter559,0,1,0,0,0.0,0.0,,0.0,0.0
10574,4/16/18,kabby,0,1,0,0,0.0,0.0,,0.0,0.0
10582,4/16/18,Phixate,0,10,5,10,2.0,0.93,0.09300000000000001,0.0465,0.2325
10703,4/15/18,thatpiguy,0,1,0,0,0.0,0.0,,0.0,0.0
10729,4/15/18,Bighungry2x,0,5,0,0,0.0,0.0,,0.0,0.0
10776,4/15/18,myboomshtickMixer,0,2,1,1,1.0,0.25,0.25,0.0125,0.0625
10885,4/14/18,thatpiguy,0,1,0,0,0.0,0.0,,0.0,0.0
10891,4/14/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
10895,4/14/18,PinkMeatBall,0,20,1,1,1.0,10.0,10.0,0.5,2.5
10912,4/14/18,AstroOnMixer,0,1,0,0,0.0,0.0,,0.0,0.0
11050,4/13/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
11054,4/13/18,thatpiguy,0,4,2,3,1.5,1.31,0.436666667,0.0655,0.3275
11055,4/13/18,XenAndCL,0,1,0,0,0.0,0.0,,0.0,0.0
11095,4/13/18,Bighungry2x,0,28,0,0,0.0,0.0,,0.0,0.0
11234,4/12/18,thatpiguy,0,2,1,1,1.0,5.0,5.0,0.25,1.25
11243,4/12/18,PinkMeatBall,0,6,0,0,0.0,0.0,,0.0,0.0
11266,4/12/18,Bighungry2x,0,10,2,3,1.5,0.12,0.04,0.006,0.03
11280,4/12/18,kabby,0,1,1,1,1.0,1.0,1.0,0.05,0.25
11289,4/12/18,Phixate,0,12,6,11,1.8333333330000001,1.62,0.147272727,0.081,0.405
11316,4/12/18,InjuredWafflez,0,1,0,0,0.0,0.0,,0.0,0.0
11412,4/11/18,dammitrooster,0,1,1,3,3.0,0.1,0.033333333,0.005,0.025
11418,4/11/18,thatpiguy,0,5,2,5,2.5,5.2,1.04,0.26,1.3
11424,4/11/18,PinkMeatBall,0,3,3,21,7.0,2.09,0.09952381,0.1045,0.5225
11430,4/11/18,Scarberry,0,1,1,2,2.0,0.13,0.065,0.0065,0.0325
11450,4/11/18,MAGNETRON,0,1,0,0,0.0,0.0,,0.0,0.0
11457,4/11/18,Bighungry2x,0,1,1,10,10.0,6.98,0.698,0.349,1.745
11482,4/11/18,Phixate,0,5,0,0,0.0,0.0,,0.0,0.0
11505,4/11/18,InjuredWafflez,0,1,1,1,1.0,0.45,0.45,0.0225,0.1125
11595,4/10/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
11639,4/10/18,kabby,0,1,0,0,0.0,0.0,,0.0,0.0
11651,4/10/18,Phixate,0,10,2,3,1.5,0.79,0.263333333,0.0395,0.1975
11681,4/10/18,myboomshtickMixer,0,1,0,0,0.0,0.0,,0.0,0.0
11769,4/9/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
11775,4/9/18,PinkMeatBall,0,4,0,0,0.0,0.0,,0.0,0.0
11811,4/9/18,Bighungry2x,0,1,0,0,0.0,0.0,,0.0,0.0
11816,4/9/18,TyFighter559,0,3,1,6,6.0,0.35,0.058333333,0.0175,0.0875
11828,4/9/18,Phixate,0,6,2,5,2.5,21.0,4.2,1.05,5.25
11854,4/9/18,InjuredWafflez,0,1,1,1,1.0,0.45,0.45,0.0225,0.1125
11862,4/9/18,myboomshtickMixer,0,1,0,0,0.0,0.0,,0.0,0.0
11960,4/8/18,thatpiguy,0,1,0,0,0.0,0.0,,0.0,0.0
11973,4/8/18,Scarberry,0,1,1,2,2.0,0.5,0.25,0.025,0.125
12127,4/7/18,Moto,0,2,0,0,0.0,0.0,,0.0,0.0
12132,4/7/18,PinkMeatBall,0,2,1,1,1.0,1.0,1.0,0.05,0.25
12157,4/7/18,Bighungry2x,0,3,0,0,0.0,0.0,,0.0,0.0
12164,4/7/18,TyFighter559,0,1,1,1,1.0,0.01,0.01,0.0005,0.0025
12174,4/7/18,Phixate,0,6,1,1,1.0,5.0,5.0,0.25,1.25
12309,4/6/18,Moto,0,4,1,7,7.0,0.6,0.085714286,0.03,0.15
12343,4/6/18,Bighungry2x,0,2,0,0,0.0,0.0,,0.0,0.0
12351,4/6/18,TyFighter559,0,1,1,2,2.0,0.27,0.135,0.0135,0.0675
12368,4/6/18,Phixate,0,3,2,8,4.0,0.28,0.035,0.013999999999999999,0.07
12396,4/6/18,myboomshtickMixer,0,3,1,3,3.0,0.52,0.173333333,0.026000000000000002,0.13
12492,4/5/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
12502,4/5/18,Moto,0,2,0,0,0.0,0.0,,0.0,0.0
12545,4/5/18,TyFighter559,0,1,0,0,0.0,0.0,,0.0,0.0
12564,4/5/18,Phixate,0,6,2,8,4.0,16.73,2.09125,0.8365,4.1825
12734,4/4/18,thatpiguy,0,1,1,2,2.0,0.02,0.01,0.001,0.005
12746,4/4/18,PinkMeatBall,0,1,0,0,0.0,0.0,,0.0,0.0
12777,4/4/18,MAGNETRON,0,1,0,0,0.0,0.0,,0.0,0.0
12788,4/4/18,Bighungry2x,0,1,0,0,0.0,0.0,,0.0,0.0
12803,4/4/18,kabby,0,1,0,0,0.0,0.0,,0.0,0.0
12987,4/3/18,dammitrooster,0,4,1,2,2.0,1.31,0.655,0.0655,0.3275
12992,4/3/18,thatpiguy,0,1,0,0,0.0,0.0,,0.0,0.0
12996,4/3/18,jaredfps,0,2,1,1,1.0,0.15,0.15,0.0075,0.0375
12999,4/3/18,Moto,0,3,1,1,1.0,0.24,0.24,0.012,0.06
13038,4/3/18,Bighungry2x,0,1,0,0,0.0,0.0,,0.0,0.0
13063,4/3/18,Phixate,0,13,2,7,3.5,1.6,0.228571429,0.08,0.4
13091,4/3/18,InjuredWafflez,0,1,1,1,1.0,0.45,0.45,0.0225,0.1125
13102,4/3/18,myboomshtickMixer,0,1,0,0,0.0,0.0,,0.0,0.0
13199,4/2/18,pixelprincess,0,6,2,8,4.0,0.85,0.10625,0.0425,0.2125
13201,4/2/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
13207,4/2/18,XenAndCL,0,3,0,0,0.0,0.0,,0.0,0.0
13215,4/2/18,Moto,0,3,1,4,4.0,0.1,0.025,0.005,0.025
13243,4/2/18,AstroOnMixer,0,1,0,0,0.0,0.0,,0.0,0.0
13262,4/2/18,Bighungry2x,0,32,1,5,5.0,0.1,0.02,0.005,0.025
13273,4/2/18,TyFighter559,0,1,0,0,0.0,0.0,,0.0,0.0
13289,4/2/18,Phixate,0,11,2,10,5.0,16.8,1.68,0.84,4.2
13481,4/1/18,XenAndCL,0,1,0,0,0.0,0.0,,0.0,0.0
13483,4/1/18,jaredfps,0,3,1,1,1.0,0.15,0.15,0.0075,0.0375
13487,4/1/18,InsertCoinTheater,0,1,0,0,0.0,0.0,,0.0,0.0
13488,4/1/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
13528,4/1/18,Bighungry2x,0,2,0,0,0.0,0.0,,0.0,0.0
13539,4/1/18,TyFighter559,0,1,0,0,0.0,0.0,,0.0,0.0
13592,4/1/18,InjuredWafflez,0,1,0,0,0.0,0.0,,0.0,0.0
13657,3/31/18,thatpiguy,0,1,1,9,9.0,1.69,0.187777778,0.0845,0.4225
