id,creator_id,viewer_id,"timestamp",item_id,item_position,item_price,sale_price
164,285323,314029,"2018-04-01 15:14:16",153,0,0.02,0.02
165,285323,314029,"2018-04-01 15:14:18",153,0,0.02,0.02
166,285323,314029,"2018-04-01 15:14:20",153,0,0.02,0.02
167,285323,314029,"2018-04-01 15:14:23",153,0,0.02,0.02
168,285323,314029,"2018-04-01 15:14:25",153,0,0.02,0.02
169,314227,314230,"2018-04-01 15:30:41",153,0,0.02,0.02
170,314227,314230,"2018-04-01 15:37:39",166,0,0.82,0.82
171,314227,314230,"2018-04-01 15:38:28",183,0,0.15,0.15
172,314227,314230,"2018-04-01 15:38:44",158,0,0.01,0.01
173,206356,212588,"2018-04-01 15:52:50",153,0,0.02,0.02
174,206356,212588,"2018-04-01 15:53:15",161,0,0.01,0.01
175,206356,212588,"2018-04-01 15:54:22",161,0,0.01,0.01
176,71937,314236,"2018-04-01 16:00:52",158,0,0.01,0.01
177,71937,314238,"2018-04-01 16:09:12",153,0,0.02,0.02
178,273866,277222,"2018-04-01 16:12:32",153,0,0.02,0.02
179,71937,314238,"2018-04-01 16:12:54",161,0,0.01,0.01
180,71937,314238,"2018-04-01 16:13:16",190,0,0.04,0.04
181,71937,314238,"2018-04-01 16:13:22",158,0,0.01,0.01
182,71937,314238,"2018-04-01 16:13:25",153,0,0.02,0.02
183,206356,212588,"2018-04-01 16:14:01",158,0,0.01,0.01
184,44051,288002,"2018-04-01 17:15:17",185,0,20.00,20.00
185,44051,288002,"2018-04-01 17:15:42",178,0,2.50,2.50
186,44051,288002,"2018-04-01 17:15:56",171,0,0.45,0.45
187,44051,288002,"2018-04-01 17:16:02",186,0,0.05,0.05
188,44051,288002,"2018-04-01 17:16:19",183,0,0.15,0.15
189,87841,304528,"2018-04-01 17:34:12",156,0,0.25,0.25
190,87841,304528,"2018-04-01 17:41:27",155,0,0.40,0.40
191,87841,304528,"2018-04-01 17:44:51",153,0,0.02,0.02
192,87841,304528,"2018-04-01 17:45:42",153,0,0.02,0.02
193,87841,304528,"2018-04-01 17:45:56",158,0,0.01,0.01
194,87841,304528,"2018-04-01 17:46:29",188,0,0.04,0.04
195,87841,304528,"2018-04-01 17:46:39",190,0,0.04,0.04
196,87841,304528,"2018-04-01 17:47:00",153,0,0.02,0.02
197,87841,304528,"2018-04-01 17:47:24",153,0,0.02,0.02
198,87841,304528,"2018-04-01 17:47:29",153,0,0.02,0.02
199,87841,304528,"2018-04-01 17:47:35",153,0,0.02,0.02
200,87841,304528,"2018-04-01 17:47:47",153,0,0.02,0.02
201,87841,304528,"2018-04-01 17:48:00",153,0,0.02,0.02
202,87841,304528,"2018-04-01 17:48:09",190,0,0.04,0.04
203,87841,304528,"2018-04-01 17:48:28",161,0,0.01,0.01
204,87841,304528,"2018-04-01 17:48:33",153,0,0.02,0.02
205,87841,304528,"2018-04-01 17:48:41",161,0,0.01,0.01
206,87841,304528,"2018-04-01 17:48:44",153,0,0.02,0.02
207,235038,314252,"2018-04-01 17:49:00",158,0,0.01,0.01
208,235038,314252,"2018-04-01 17:49:04",161,0,0.01,0.01
209,235038,314252,"2018-04-01 17:49:09",187,0,0.08,0.08
210,235038,197448,"2018-04-01 17:56:25",158,0,0.01,0.01
211,235038,197448,"2018-04-01 17:57:54",170,0,0.21,0.21
212,235038,197448,"2018-04-01 17:58:25",153,0,0.02,0.02
213,235038,197448,"2018-04-01 17:58:30",158,0,0.01,0.01
214,235038,314252,"2018-04-01 18:01:33",192,0,0.07,0.07
215,235038,314252,"2018-04-01 18:01:38",191,0,0.04,0.04
216,235038,314252,"2018-04-01 18:01:41",190,0,0.04,0.04
217,235038,314252,"2018-04-01 18:07:47",190,0,0.04,0.04
218,235038,314252,"2018-04-01 18:07:55",153,0,0.02,0.02
219,235038,314252,"2018-04-01 18:08:12",191,0,0.04,0.04
220,311515,314259,"2018-04-01 18:23:45",162,0,5.00,5.00
221,311515,314259,"2018-04-01 18:23:48",162,0,5.00,5.00
222,311515,314259,"2018-04-01 18:24:13",169,0,1.00,1.00
223,301976,314262,"2018-04-01 18:45:40",161,0,0.01,0.01
224,301976,314262,"2018-04-01 18:45:54",168,0,0.33,0.33
225,301976,314262,"2018-04-01 18:46:02",161,0,0.01,0.01
226,301976,302083,"2018-04-01 18:50:27",157,0,0.25,0.25
227,301976,302083,"2018-04-01 18:52:16",156,0,0.25,0.25
228,306034,306054,"2018-04-01 18:57:45",158,0,0.01,0.01
229,255796,275483,"2018-04-01 19:00:47",153,0,0.02,0.02
230,255796,275483,"2018-04-01 19:01:05",187,0,0.08,0.08
231,306034,306054,"2018-04-01 19:11:57",188,0,0.04,0.04
232,237515,257045,"2018-04-01 19:18:32",176,0,0.20,0.20
233,212714,314264,"2018-04-01 19:19:00",157,0,0.25,0.25
234,212714,262770,"2018-04-01 19:20:51",159,0,0.49,0.49
235,212714,262770,"2018-04-01 19:21:20",164,0,0.50,0.50
236,212714,314264,"2018-04-01 19:21:37",158,0,0.01,0.01
237,212714,314264,"2018-04-01 19:21:40",158,0,0.01,0.01
238,212714,314264,"2018-04-01 19:21:42",158,0,0.01,0.01
239,212714,314264,"2018-04-01 19:21:56",153,0,0.02,0.02
240,212714,314264,"2018-04-01 19:23:12",186,0,0.05,0.05
241,212714,309707,"2018-04-01 19:39:59",185,0,20.00,20.00
242,255796,314270,"2018-04-01 19:55:13",165,0,0.30,0.30
243,255796,314270,"2018-04-01 19:56:42",161,0,0.01,0.01
244,55557,219593,"2018-04-01 20:23:04",153,0,0.02,0.02
245,260725,314280,"2018-04-01 20:24:18",153,0,0.02,0.02
246,260725,314280,"2018-04-01 20:24:25",158,0,0.01,0.01
247,260725,314280,"2018-04-01 20:24:29",161,0,0.01,0.01
248,260725,314280,"2018-04-01 20:24:37",186,0,0.05,0.05
249,260725,314280,"2018-04-01 20:24:58",153,0,0.02,0.02
250,260725,314280,"2018-04-01 20:25:12",190,0,0.04,0.04
251,260725,314280,"2018-04-01 20:25:19",192,0,0.07,0.07
252,260725,314280,"2018-04-01 20:25:33",153,0,0.02,0.02
253,260725,314280,"2018-04-01 20:25:38",158,0,0.01,0.01
254,212652,245302,"2018-04-01 20:43:04",154,0,1.50,1.50
255,87841,314283,"2018-04-01 20:54:22",186,0,0.05,0.05
256,87841,314283,"2018-04-01 20:54:27",186,0,0.05,0.05
257,224662,294802,"2018-04-01 21:38:08",157,0,0.25,0.25
258,212714,314293,"2018-04-01 21:38:41",157,0,0.25,0.25
259,224662,294802,"2018-04-01 21:38:43",156,0,0.25,0.25
260,224662,294802,"2018-04-01 21:38:56",170,0,0.21,0.21
261,224662,294802,"2018-04-01 21:39:02",161,0,0.01,0.01
262,224662,294802,"2018-04-01 21:39:06",158,0,0.01,0.01
263,193231,198493,"2018-04-01 21:40:17",153,0,0.02,0.02
264,224662,294802,"2018-04-01 21:44:27",153,0,0.02,0.02
265,212714,314293,"2018-04-01 21:44:42",187,0,0.08,0.08
266,212714,314293,"2018-04-01 21:45:05",153,0,0.02,0.02
267,288685,289089,"2018-04-01 21:57:38",153,0,0.02,0.02
268,288685,289089,"2018-04-01 22:17:00",158,0,0.01,0.01
269,257746,314305,"2018-04-01 22:22:46",156,0,0.25,0.25
270,302511,314310,"2018-04-01 22:37:59",156,0,0.25,0.25
271,305699,307444,"2018-04-01 23:02:08",162,0,5.00,5.00
272,87841,314314,"2018-04-01 23:09:32",183,0,0.15,0.15
273,87841,314314,"2018-04-01 23:09:36",186,0,0.05,0.05
274,288685,289680,"2018-04-01 23:25:43",168,0,0.33,0.33
275,288685,289680,"2018-04-01 23:25:47",168,0,0.33,0.33
276,288685,289680,"2018-04-01 23:25:50",168,0,0.33,0.33
277,288685,289680,"2018-04-01 23:25:59",157,0,0.25,0.25
278,288685,289680,"2018-04-01 23:26:05",161,0,0.01,0.01
279,242655,314290,"2018-04-01 23:29:35",157,0,0.25,0.25
280,242655,314290,"2018-04-01 23:30:06",165,0,0.30,0.30
